run_id,date,long_ret,short_ret,ls_ret,ls_ret_net,turnover,traded_notional,transaction_cost,n_long,n_short
gated_seed42,2011-06-01,0.0255533065235692,-0.0301695019432706,0.0278614042334199,0.0268559569460494,0.5027236436852411,1.0054472873704825,0.0010054472873704,4,4
gated_seed42,2011-07-01,0.0315181337072281,-0.0322179978032148,0.0318680657552214,0.0306299137959287,0.6190759796463667,1.2381519592927337,0.0012381519592927,4,4
gated_seed42,2011-08-01,0.0287633933612039,-0.0385723952967297,0.0336678943289668,0.0331486153424066,0.2596394932801182,0.5192789865602365,0.0005192789865602,4,4
gated_prediction_only_seed42,2011-03-01,0.0241230826390845,-0.0241308258237708,0.0241269542314277,0.0231269542314277,0.5,1.0,0.001,4,4
gated_prediction_only_seed42,2011-04-01,0.0319046431440243,-0.0218703850185161,0.0268875140812702,0.0249101220535537,0.9886960138582476,1.9773920277164951,0.0019773920277164,4,4
gated_prediction_only_seed42,2011-05-01,0.0295906793507606,-0.0248978265927667,0.0272442529717637,0.0267295952904284,0.2573288406676216,0.5146576813352433,0.0005146576813352,4,4
gated_prediction_only_seed42,2011-06-01,0.0230968625148221,-0.0301695019432706,0.0266331822290463,0.0253777349416759,0.6277236436852411,1.2554472873704825,0.0012554472873704,4,4
gated_prediction_only_seed42,2011-07-01,0.0315181337072281,-0.0322179978032148,0.0318680657552214,0.0306304078821755,0.6188289365229378,1.2376578730458756,0.0012376578730458,4,4
gated_prediction_only_seed42,2011-08-01,0.0315847774067775,-0.0337060205065295,0.0326453989566535,0.0316468484584228,0.4992752491153721,0.9985504982307442,0.0009985504982307,4,4
ungated_seed101,2011-03-01,0.0241230826390845,-0.0241308258237708,0.0241269542314277,0.0231269542314277,0.5,1.0,0.001,4,4
ungated_seed101,2011-04-01,0.0351790980210788,-0.0224233995392352,0.028801248780157,0.0268238567524405,0.9886960138582476,1.9773920277164951,0.0019773920277164,4,4
ungated_seed101,2011-05-01,0.0295906793507606,-0.027315319107828,0.0284529992292943,0.0274452759564368,0.5038616364287246,1.0077232728574492,0.0010077232728574,4,4
ungated_seed101,2011-06-01,0.0255533065235692,-0.0301695019432706,0.0278614042334199,0.0268574854801189,0.5019593766505194,1.0039187533010387,0.001003918753301,4,4
ungated_seed101,2011-07-01,0.0315181337072281,-0.0322179978032148,0.0318680657552214,0.0306299145225698,0.6190756163257933,1.2381512326515869,0.0012381512326515,4,4
ungated_seed101,2011-08-01,0.0315847774067775,-0.0385723952967297,0.0350785863517536,0.034309307365207,0.384639493273322,0.7692789865466441,0.0007692789865466,4,4
gated_seed101,2011-03-01,0.0238358751119457,-0.0249786274794836,0.0244072512957147,0.0234072512957147,0.5,1.0,0.001,4,4
gated_seed101,2011-04-01,0.033284183953411,-0.0224233995392352,0.0278537917463231,0.0263697263548594,0.7420326957318674,1.4840653914637347,0.0014840653914637,4,4
gated_seed101,2011-05-01,0.0194148394694581,-0.027315319107828,0.0233650792886431,0.0221080544818877,0.6285124033776799,1.2570248067553598,0.0012570248067553,4,4
gated_seed101,2011-06-01,0.0255533065235692,-0.0301695019432706,0.0278614042334199,0.0268598319971418,0.5007861181390596,1.0015722362781192,0.0010015722362781,4,4
gated_seed101,2011-07-01,0.0315181337072281,-0.0322179978032148,0.0318680657552214,0.0306299156380631,0.619075058579185,1.23815011715837,0.0012381501171583,4,4
gated_seed101,2011-08-01,0.0247003123787676,-0.0385723952967297,0.0316363538377486,0.0308670748512229,0.3846394932628888,0.7692789865257776,0.0007692789865257,4,4
gated_prediction_only_seed101,2011-03-01,0.0184699022307499,-0.0241308258237708,0.0213003640272604,0.0203003640272604,0.5,1.0,0.001,4,4
gated_prediction_only_seed101,2011-04-01,0.036842092819075,-0.0224233995392352,0.0296327461791551,0.0279054167834588,0.8636646978481559,1.7273293956963118,0.0017273293956963,4,4
gated_prediction_only_seed101,2011-05-01,0.0194148394694581,-0.027315319107828,0.0233650792886431,0.0223569891215394,0.5040450835518456,1.0080901671036913,0.0010080901671036,4,4
gated_prediction_only_seed101,2011-06-01,0.0255533065235692,-0.0301695019432706,0.0278614042334199,0.026859954125425,0.5007250539974605,1.001450107994921,0.0010014501079949,4,4
gated_prediction_only_seed101,2011-07-01,0.0315181337072281,-0.0322179978032148,0.0318680657552214,0.0306299156961206,0.6190750295504281,1.2381500591008563,0.0012381500591008,4,4
gated_prediction_only_seed101,2011-08-01,0.0247003123787676,-0.0385723952967297,0.0316363538377486,0.030867074851224,0.3846394932623458,0.7692789865246916,0.0007692789865246,4,4
