variant,seed,date,ic,assets
gated_prediction_only,42,2023-06-01,0.0156886399210675,409
gated_prediction_only,42,2023-07-01,0.507120094914786,369
gated_prediction_only,42,2023-08-01,0.0054275505857109,372
gated_prediction_only,42,2023-09-01,0.1575463593349609,373
gated_prediction_only,42,2023-10-01,-0.0059432247869518,376
gated_prediction_only,42,2023-11-01,-0.0422805764846418,378
gated_prediction_only,42,2023-12-01,-0.0150079913187071,424
ungated,101,2023-01-01,0.1382015796855015,357
ungated,101,2023-02-01,0.1564377806718964,358
ungated,101,2023-03-01,0.0977237057849845,362
ungated,101,2023-04-01,0.1127003825999894,364
ungated,101,2023-05-01,0.0776515965330243,367
ungated,101,2023-06-01,0.0836373166635449,409
ungated,101,2023-07-01,0.4796578867389572,369
ungated,101,2023-08-01,-0.0004452346777206,372
ungated,101,2023-09-01,0.1263255587396251,373
ungated,101,2023-10-01,0.0043295899503126,376
ungated,101,2023-11-01,-0.0778139329701179,378
ungated,101,2023-12-01,0.0067202719374274,424
gated,101,2023-01-01,0.1290961177641604,357
gated,101,2023-02-01,0.2353751177088159,358
gated,101,2023-03-01,0.1042728221344882,362
gated,101,2023-04-01,0.0868916940401875,364
gated,101,2023-05-01,0.1355387092709874,367
gated,101,2023-06-01,0.0784846802794875,409
gated,101,2023-07-01,0.5269644075863432,369
gated,101,2023-08-01,0.0004918561386064,372
gated,101,2023-09-01,0.1509544150134319,373
gated,101,2023-10-01,0.0372637282013657,376
gated,101,2023-11-01,-0.0546993307599105,378
gated,101,2023-12-01,0.0182818946861167,424
gated_prediction_only,101,2023-01-01,0.1128981126064135,357
gated_prediction_only,101,2023-02-01,0.332911515063487,358
gated_prediction_only,101,2023-03-01,0.0218544822134598,362
gated_prediction_only,101,2023-04-01,0.1658838151813205,364
gated_prediction_only,101,2023-05-01,0.0678421841873953,367
gated_prediction_only,101,2023-06-01,0.0808810951987443,409
gated_prediction_only,101,2023-07-01,0.5161355579612891,369
gated_prediction_only,101,2023-08-01,0.0089199620734649,372
gated_prediction_only,101,2023-09-01,0.1534948121199783,373
gated_prediction_only,101,2023-10-01,0.0461296912918336,376
gated_prediction_only,101,2023-11-01,-0.05905820919606,378
gated_prediction_only,101,2023-12-01,-0.0173684099911375,424
